Costume collections from the Royal Pavilion and Museums, Brighton & Hove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;
Published illustrated data set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;
Data released under a Creative Commons CC0 licence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;
Release 1.0 18/07/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;
Image refs refer to files in: rpm_cost_img_rel1_0_180712.zip http://www.images.brighton-hove-rpml.org.uk/assetbank-pavilion/action/browseItems?categoryId=1304&categoryTypeId=1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;
;;;;;;;;
ID,Category,Object Name,Common Name,Producer,date,Collector,Place Collected,Date Collected,Culture,Materials,Measurements,Description,Image ref.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Linked Events,Linked Facilities,Linked Media,Linked People,Linked Places,Linked Pubs,Site,Linked Subjects,Linked Taxonomy,Linked Research,Linked Terms;;;;;;;;
"CT003320,Costume,Staybone or Busk,,,c1780,,,,,Horn,,""This staybone or busk, designed to fit inside a women's undergarment for support, is made from horn. It is carved with R in an escutcheon, a ship, house, tree, twin hearts struck by arrows crossed, a row of houses and a tree, at the base is indistinctly: To Mifs ..."",dmas_ct003320_d01_cc1024.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,";;;;;;;;
"CT003321,Costume,Staybone,,,Late 18th Century,,,,,animal bone,,""This is a staybone made of cachalot bone engraved with floral and maritime motifs. It was made in the UK in the late 18th century.";;;;;;;;
"The collector of this staybone, F.W. Lucas had a particular interest in objects made from natural or animal material."",dmas_ct003321_ud01_cc1024.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,";;;;;;;;
"CT003322,Costume,Staybone,,,Late 18th Century,,,,,animal bone,,""This is a staybone made of cachalot bone engraved with floral and maritime motifs. It was made in the UK in the late 18th century.";;;;;;;;
